"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000000921226","(추리 천재) 엉덩이 탐정 .2 ,어둠 속으로 사라진 거인","트롤 글?그림","미래엔(MiraeN): MiraeN 아이세움","2016","9788937853470","8","6"
"000000298219","1984","조지 오웰 지음","민음사","2003","9788937460777","8","6"
"000000004273","1Q84 :무라카미 하루키 장편소설 .1 ,4月-6月","무라카미 하루키 [지음]","문학동네","2009","9788954608640","8","6"
"000001591441","7시 45분 열차에서의 고백 :리사 엉거 장편소설","리사 엉거 지음","황금시간","2023","9791191602371","8","6"
"000001644188","80세의 벽 :건강하고 행복한 노후를 만드는 80가지 방법 .[2] ,실천편","와다 히데키 지음","한스미디어: 한즈미디어","2023","9791160079517","5","6"
"000001644170","가장 아끼는 너에게 주고 싶은 말 :도연화 에세이","도연화 지음","부크럼","2023","9791162144510","8","6"
"000001632305","가족각본","김지혜 지음","창비","2023","9788936486921","3","6"
"000001628524","감정은 사라져도 결과는 남는다 :살아온 날보다 살아갈 날을 위해","이해인 지음","필름(Feelm)","2023","9791198249340","8","6"
"000000298150","거미여인의 키스","마누엘 푸익 지음","민음사","2000","9788937460371","8","6"
"000001591175","거인의 노트 :인생에서 무엇을 보고 어떻게 기록할 것인가","김익한 지음","다산북스","2023","9791130697529","3","6"
"000001630668","건널목의 유령 :다카노 가즈아키 장편소설","다카노 가즈아키 지음","황금가지","2023","9791170523017","8","6"
"000001653164","게임 전쟁 :게임 패권 다툼 그리고 위대한 콘솔의 탄생","스티븐 켄트 지음","한빛미디어","2023","9791169210720","6","6"
"000001636973","경험은 어떻게 유전자에 새겨지는가 :환경과 맥락에 따라 달라지는 유전체에 관한 행동 후성유전학의 놀라운 발견","데이비드 무어 지음","아몬드","2023","9791192465111","4","6"
"000001634702","고통에 관하여 :정보라 장편소설","정보라 지음","다산책방: 다산북스","2023","9791130698205","8","6"
"000001653223","국제탐정 K :달의 두 얼굴 : 최범석 장편소설","최범석 지음","지도없는 여행","2023","9791198403506","8","6"
"000001511409","기분이 태도가 되지 않으려면 :감정 기복이 심한 당신에게 필요한 기분 수업","나겨울 지음","Rise(떠오름)","2021","9791197080845","1","6"
"000001650601","기억 속의 유괴","오야마 세이이치로 지음","REAbie : 디앤씨미디어","2023","9791192738208","8","6"
"000001473627","긴긴밤","루리 글?그림","문학동네","2021","9788954677158","8","6"
"000001554646","나는 아끼는 대신 더 벌기로 했다 :N잡 워킹맘의 수익형 블로그 만들기","율마 지음","경이로움: 사이다경제","2022","9791197772849","3","6"
"000001638023","나만 그런 게 아니었어 :요시타케 신스케의 유쾌하고 엉뚱한 90가지 생각","요시타케 신스케 지음","김영사","2023","9788934940982","8","6"
"000000847872","나의 눈부신 친구","엘레나 페란테 지음","한길사","2016","9788935669738","8","6"
"000001612201","내가 가진 것을 세상이 원하게 하라 :최인아 대표가 축적한 일과 삶의 인사이트","최인아 지음","해냄출판사","2023","9791167140609","3","6"
"000001590888","내면소통 :삶의 변화를 가져오는 마음근력 훈련 =Inner communication","김주환 지음","인플루엔셜","2023","9791168340855","1","6"
"000001627459","너무 보고플 땐 눈이 온다 :고명재 산문집","고명재 지음","난다","2023","9791191859546","8","6"
"000001297552","넛지 :똑똑한 선택을 이끄는 힘","리처드 탈러","Leader's book: 웅진씽크빅","2019","9788901227542","3","6"
"000001295019","놓지 마 과학! .7 ,정신이 모험에 정신 놓다","신태훈","위즈덤하우스: 위즈덤하우스 미디어그룹","2018","9791162205624","4","6"
"000001653199","놓지 마 초등 영단어 :만화로 재미있게, 단어가 쏙쏙, 영어가 술술~ .2","신태훈","위즈덤하우스","2020","9791190786775","7","6"
"000001508517","다정한 것이 살아남는다","브라이언 헤어","디플롯","2021","9791197413025","4","6"
"000001525658","다정함의 과학 :친절, 신뢰, 공감 속에 숨어 있는 건강과 행복의 비밀","켈리 하딩 지음","더퀘스트: 길벗","2022","9791165218386","4","6"
"000001638030","단 한 사람 :최진영 장편소설","최진영 지음","한겨레출판: 한겨레엔","2023","9791160405750","8","6"
"000001635180","달러 투자 무작정 따라하기 :단 한 번도 잃지 않은, 성공률 100%의 달러 투자 공식!","박성현 지음","길벗","2023","9791140706167","3","6"
